Lahore Marathon
42KM MALE
RANK	BIB	NAME	TEAM	LAP	TIME FINISHED	DURATION
-	2253	Subhan Ashiq	KJFC	0	-	-
-	2114	Sultan Asi	CHEADLE HULME PARKRUN	0	-	-
-	2206	Sultan Khattak	MARGALLA TRAIL RUNNERS	0	-	-
-	2327	Syed Aaliyan Hassan	ISLAMABAD RUN WITH US 	0	-	-
-	2265	Syed Awais Hashmi	LAHORE RUNNERS	0	-	-
-	2176	Syed Danish Shah		0	-	-
-	2359	Syed Fakhar Abbas Shah	PUNJAB ATHLETIC ACADEMY	0	-	-
-	2113	Talal	RUN FOREST RUN	0	-	-
-	2137	Talha Shahid	KARACHI STRIDERS	0	-	-
-	2330	Umair Khan		0	-	-
-	2386	Umar Usman		0	-	-
-	2325	Umar Zaman	ISLAMABAD RUN WITH US 	0	-	-
-	2379	Umer Riaz		0	-	-
-	2257	Ummair Shabbir	LAHORE RUNNERS	0	-	-
-	2271	Usama	LAHORE RUNNERS	0	-	-
-	2200	Usama Sheikh	CML	0	-	-
-	2129	Usman	GOLF CLUB 	0	-	-
-	2153	Usman Aziz		0	-	-
-	2305	Usman Rathore		0	-	-
-	2318	Usman Tassadiq	ISLAMABAD RUNNING CLUB	0	-	-
-	2175	WAHAB KHALID		0	-	-
-	2403	Waleed Butt		0	-	-
-	2340	Waqas Ahsan		0	-	-
-	2126	WASIF ALI		0	-	-
-	2283	Yawar Iqbal		0	-	-
-	2291	Yousaf Qadir	ISLAMABAD HIKING CLUB	0	-	-
-	2146	Zahran		0	-	-
-	2125	Zawar Ahmed Farooqi	ZAWAR	0	-	-
-	2400	Zeeshan Ali Khan		0	-	-
-	2224	Zeeshan Aslam	ISLAMABAD RUNNING CLUB	0	-	-
-	2321	Zia Ullah Khan	ISLAMABAD RUNNING CLUB	0	-	-
-	2357	Zia Ur Rehman	PUNJAB ATHLETIC ACADEMY	0	-	-
-	2349	Zulfiqar Ahmad Noor	MARGALLA TRAIL RUNNERS	0	-	-
-	2145	Zunair Fayyaz	PAKISTAN CUSTOMS	0	-	-
21KM FEMALE
RANK	BIB	NAME	TEAM	LAP	TIME FINISHED	DURATION
-	2287	Afia Khan	RCR	0	-	-
-	2352	Aqsa  Jaffar	PUNJAB ATHLETIC ACADEMY	0	-	-
-	2304	Ayesha Saddiqua		0	-	-
-	2237	Azka Ghalib	ISLAMABAD RUNNING CLUB	0	-	-
-	2159	Fatimeh Kashif Ahmed	RFC	0	-	-
-	2275	Hajra Rehman	CML	0	-	-
-	2207	Imrat Fayyaz		0	-	-
-	2410	Irum Ishaque	HIKER.PK	0	-	-
-	2353	Khadija Afiyat	PUNJAB ATHLETIC ACADEMY	0	-	-
-	2149	Khunsha Javed	KHUNSHA JAVED	0	-	-
-	2185	Livia		0	-	-
-	2221	Mahreen Kashif	ISLAMABAD RUNNING CLUB	0	-	-
-	2311	Maria Bibi	KJFC	0	-	-
-	2375	Marria Khan		0	-	-
-	2322	Mehreen Shahid		0	-	-
-	2168	Mehwish Riaz		0	-	-
-	2302	Neesa Abbas		0	-	-
-	2131	Numrah Raza		0	-	-
-	2369	Rabia Pannu		0	-	-
-	2376	Rimsha Ishaq	PRR KASUR	0	-	-
-	2315	Rubab Gardezi	RUN FOR COFFEE	0	-	-
-	2255	Saliha Zahid	LAHORE RUNNERS	0	-	-
-	2213	Samreen Khan	ISLAMABAD RUNNING CLUB	0	-	-
-	2174	Sarah Arshad		0	-	-
-	2116	Shahida Jamil Afridi	-	0	-	-
-	2346	Shiza Umer		0	-	-
-	2220	Umaira Kalsoom	ISLAMABAD RUNNING CLUB	0	-	-
-	2282	Urooj Iqbal	HIKER.PK	0	-	-
-	2191	Zaira Syed	HIKER.PK	0	-	-
5KM MALE
RANK	BIB	NAME	TEAM	LAP	TIME FINISHED	DURATION
-	5326	06526		0	-	-
-	5394	06594		0	-	-
-	5395	06595		0	-	-
-	5548	5548		0	-	-
-	5549	5549		0	-	-
-	5550	5550		0	-	-
-	5551	5551		0	-	-
-	5552	5552		0	-	-
-	5553	5553		0	-	-
-	5554	5554		0	-	-
-	5555	5555		0	-	-
-	5556	5556		0	-	-
-	5557	5557		0	-	-
-	5558	5558		0	-	-
-	5559	5559		0	-	-
-	5560	5560		0	-	-
-	5561	5561		0	-	-
-	5562	5562		0	-	-
-	5563	5563		0	-	-
-	5564	5564		0	-	-
-	5565	5565		0	-	-
-	5566	5566		0	-	-
-	5567	5567		0	-	-
-	5568	5568		0	-	-
